   wave             C        sig sigcal    lorange    hirange
------- ------------- ---------- ------ ---------- ----------
3769.89    -341.58831     58.302  0.245    154.555      0.000
3770.48    -347.23052     60.707  0.251    160.725      0.000
3771.06    -353.05736     63.271  0.257    167.275      0.000
3771.64    -359.07803     66.006  0.263    174.237      0.000
3772.22    -365.30235     68.926  0.271    181.647      0.000
 3772.8    -371.74082     72.045  0.278    189.546      0.000
3773.38    -378.40468     75.381  0.286    197.978      0.000
3773.96    -385.30596     78.952  0.294    206.992      0.000
3774.54    -392.45756     82.779  0.302    216.644      0.000
3775.12    -399.87335     86.884  0.311    226.997      0.000
3775.71    -407.56822     91.295  0.320    238.121      0.000
3776.29    -415.55823     96.039  0.330    250.097      0.000
3776.87    -423.86065    101.150  0.341    263.014      0.000
3777.45    -432.49418    106.666  0.352    276.977      0.000
3778.03    -441.47901    112.627  0.365    292.103      0.000
3778.61      -450.837    119.084  0.377    308.529      0.000
 3779.2    -460.59188    126.091  0.391    326.410      0.000
3779.78    -470.76942    133.711  0.405    345.928      0.000
3780.36     -481.3977    142.020  0.420    367.293      2.884
3780.94     -492.5073    151.103  0.437    390.754      6.990
3781.52    -504.13167    161.061  0.456    416.600     11.406
3782.11    -516.30741    172.012  0.475    445.176     16.159
3782.69    -529.07467    184.098  0.495    476.893     21.280
3783.27    -542.47762    197.488  0.517    512.242     26.802
3783.85    -556.56492    212.383  0.544    551.822     32.763
3784.44    -571.39033    229.032  0.570    596.360     39.206
3785.02     -587.0134    247.738  0.600    646.755     46.177
 3785.6    -603.50024    268.877  0.632    704.125     53.729
3786.18     -620.9245    292.924  0.671    769.882     61.923
3786.77    -639.36844    320.483  0.711    845.827     70.824
3787.35    -658.92424    352.336  0.758    934.298     80.511
3787.93    -679.69551    389.515  0.814   1038.375     91.068
3788.52    -701.79917    433.407  0.875   1162.203    102.594
 3789.1    -725.36764    485.921  0.948   1311.482    115.203
3789.68    -750.55146    549.760  1.039   1494.263    129.023
3790.27    -777.52255    628.875  1.145   1722.287    144.204
3790.85    -806.47812    729.275  1.284   2013.344    160.918
3791.43    -837.64551    860.553  1.454   2395.703    179.367
3792.02    -871.28815   1038.992  1.683   2917.107    199.786
 3792.6    -907.71302   1294.550  2.019   3664.890    222.450
3793.18     -947.2801   1688.805  2.516   4817.527    247.686
3793.77    -990.41421   2370.905  3.390   6804.936    275.884
3794.35    -1037.6204   3815.929  5.190  10990.339    307.508
3794.94   -1089.50379   8758.891 11.387  25198.307    343.121
