   wave             C          sig   sigcal      lorange      hirange
------- ------------- ------------ -------- ------------ ------------
2558.76    -5635.8002     4308.237    4.050     4170.096        0.000
2559.04   -5639.89239     4278.374    4.022     4146.888        0.000
2559.32    -5643.9957     4248.890    3.994     4123.830        0.000
 2559.6   -5648.11018     4219.780    3.967     4100.921        0.000
2559.88   -5652.23584     4191.036    3.940     4078.160        0.000
2560.16   -5656.37273     4162.654    3.871     4055.544        0.000
2560.44   -5660.52088     4134.626    3.845     4033.073        0.000
2560.72   -5664.68031     4106.947    3.819     4010.745        0.000
 2561.0   -5668.85106     4079.612    3.794     3988.559        0.000
2561.28   -5673.03317     4052.616    3.769     3966.514        0.000
2561.56   -5677.22666     4025.952    3.744     3944.609        0.000
2561.84   -5681.43158     3999.615    3.720     3922.841        0.000
2562.13   -5685.64794     3973.601    3.695     3901.211        0.000
2562.41   -5689.87579     3947.905    3.672     3879.716        0.000
2562.69   -5694.11516     3922.521    3.648     3858.355        0.000
2562.97   -5698.36608     3897.445    3.586     3837.128        0.000
2563.25   -5702.62859     3872.672    3.563     3816.033        0.000
2563.54   -5706.90272     3848.198    3.540     3795.069        0.000
2563.82    -5711.1885     3824.018    3.518     3774.235        0.000
 2564.1   -5715.48596     3800.128    3.496     3753.529        0.000
2564.39   -5719.79515     3776.524    3.474     3732.951        0.000
2564.67   -5724.11609     3753.201    3.453     3712.499        0.000
2564.95   -5728.44882     3730.155    3.432     3692.173        0.000
2565.23   -5732.79338     3707.384    3.411     3671.971        0.000
2565.52   -5737.14979     3684.882    3.390     3651.892        0.000
 2565.8    -5741.5181     3662.646    3.370     3631.935        0.000
2566.09   -5745.89833     3640.672    3.313     3612.099        0.000
2566.37   -5750.29052     3618.956    3.293     3592.382        0.000
2566.65   -5754.69471     3597.496    3.274     3572.785        0.000
2566.94   -5759.11094     3576.288    3.254     3553.306        0.000
2567.22   -5763.53922     3555.327    3.235     3533.944        0.000
2567.51   -5767.97962     3534.612    3.216     3514.698        0.000
2567.79   -5772.43215     3514.138    3.198     3495.567        0.000
2568.08   -5776.89685     3493.903    3.179     3476.550        0.000
2568.36   -5781.37376     3473.904    3.161     3457.646        0.000
2568.65   -5785.86292     3454.137    3.143     3438.854        0.000
2568.93   -5790.36435     3434.600    3.091     3420.173        0.000
2569.22   -5794.87811     3415.289    3.074     3401.603        0.000
 2569.5   -5799.40421     3396.202    3.057     3383.142        0.000
2569.79   -5803.94271     3377.337    3.040     3364.789        0.000
2570.07   -5808.49363     3358.690    3.023     3346.544        0.000
2570.36   -5813.05701     3340.258    3.006     3328.406        0.000
2570.65    -5817.6329     3322.040    2.990     3310.374        0.000
2570.93   -5822.22131     3304.033    2.974     3292.447        0.000
2571.22    -5826.8223     3286.234    2.958     3274.624        0.989
2571.51    -5831.4359     3268.640    2.942     3256.904       10.179
2571.79   -5836.06215     3251.250    2.894     3239.287       19.350
2572.08   -5840.70108     3234.062    2.878     3221.772       28.503
2572.37   -5845.35273     3217.072    2.863     3204.357       37.638
2572.65   -5850.01714     3200.279    2.848     3187.043       46.756
2572.94   -5854.69434     3183.680    2.833     3169.827       55.856
2573.23   -5859.38438     3167.274    2.819     3152.711       64.938
2573.52   -5864.08729     3151.058    2.804     3135.692       74.003
2573.81   -5868.80312     3135.030    2.790     3118.770       83.051
2574.09   -5873.53189     3119.189    2.776     3101.945       92.082
2574.38   -5878.27365     3103.532    2.762     3085.215      101.096
2574.67   -5883.02843     3088.058    2.717     3068.579      110.093
2574.96   -5887.79628     3072.764    2.704     3052.038      119.073
2575.25   -5892.57724     3057.649    2.691     3035.590      128.037
2575.54   -5897.37133     3042.711    2.678     3019.235      136.984
2575.82    -5902.1786     3027.949    2.665     3002.972      145.915
2576.11    -5906.9991     3013.360    2.652     2986.800      154.830
 2576.4   -5911.83285     2998.943    2.639     2970.718      163.729
2576.69   -5916.67991     2984.697    2.627     2954.726      172.611
2576.98    -5921.5403     2970.619    2.614     2938.824      181.478
2577.27   -5926.41407     2956.709    2.602     2923.010      190.330
2577.56   -5931.30125     2942.964    2.590     2907.284      199.166
2577.85    -5936.2019     2929.384    2.549     2891.645      207.986
2578.14   -5941.11604     2915.966    2.537     2876.093      216.791
2578.43   -5946.04373     2902.710    2.525     2860.626      225.581
2578.72   -5950.98499     2889.614    2.514     2845.245      234.356
2579.01   -5955.93987     2876.676    2.503     2829.949      243.116
 2579.3   -5960.90841     2863.896    2.492     2814.737      251.861
2579.59   -5965.89065     2851.272    2.481     2799.608      260.592
2579.88   -5970.88663     2838.803    2.470     2784.563      269.308
2580.17    -5975.8964     2826.487    2.459     2769.599      278.009
2580.47   -5980.91999     2814.324    2.448     2754.717      286.696
2580.76   -5985.95745     2802.312    2.410     2739.917      295.369
2581.05   -5991.00881     2790.449    2.400     2725.197      304.028
2581.34   -5996.07412     2778.736    2.390     2710.557      312.673
2581.63   -6001.15343     2767.171    2.380     2695.996      321.304
2581.92   -6006.24677     2755.752    2.370     2681.514      329.921
2582.22   -6011.35418     2744.479    2.360     2667.111      338.525
2582.51   -6016.47571     2733.351    2.351     2652.786      347.115
 2582.8    -6021.6114     2722.366    2.341     2638.537      355.691
2583.09   -6026.76129     2711.524    2.332     2624.366      364.255
2583.39   -6031.92543     2700.824    2.323     2610.270      372.805
2583.68   -6037.10385     2690.264    2.287     2596.251      381.342
2583.97   -6042.29661     2679.845    2.278     2582.306      389.867
2584.27   -6047.50374     2669.564    2.269     2568.436      398.378
2584.56   -6052.72529     2659.422    2.261     2554.641      406.877
2584.85    -6057.9613     2649.418    2.252     2540.919      415.363
2585.15   -6063.21182     2639.549    2.244     2527.270      423.836
2585.44   -6068.47688     2629.816    2.235     2513.694      432.297
2585.73   -6073.75654     2620.219    2.227     2500.190      440.746
2586.03   -6079.05084     2610.755    2.219     2486.758      449.183
2586.32   -6084.35981     2601.426    2.211     2473.397      457.607
2586.62   -6089.68351     2592.229    2.177     2460.107      466.020
2586.91   -6095.02198     2583.163    2.170     2446.888      474.421
 2587.2   -6100.37527     2574.230    2.162     2433.738      482.810
 2587.5   -6105.74342     2565.427    2.155     2420.658      491.187
2587.79   -6111.12647     2556.753    2.148     2407.647      499.553
2588.09   -6116.52447     2548.210    2.140     2394.704      507.907
2588.38   -6121.93747     2539.795    2.133     2381.830      516.250
2588.68   -6127.36551     2531.509    2.126     2369.023      524.582
2588.98   -6132.80863     2523.350    2.120     2356.284      532.902
2589.27   -6138.26689     2515.318    2.113     2343.611      541.212
2589.57   -6143.74033     2507.413    2.081     2331.005      549.511
2589.86   -6149.22899     2499.634    2.075     2318.465      557.798
2590.16   -6154.73292     2491.981    2.068     2305.991      566.076
2590.45   -6160.25217     2484.452    2.062     2293.582      574.342
2590.75   -6165.78678     2477.048    2.056     2281.237      582.598
2591.05   -6171.33681     2469.769    2.050     2268.957      590.843
2591.34   -6176.90229     2462.612    2.044     2256.742      599.079
2591.64   -6182.48328     2455.579    2.038     2244.590      607.304
2591.94   -6188.07983     2448.669    2.032     2232.501      615.518
2592.24   -6193.69197     2441.881    2.002     2220.475      623.723
2592.53   -6199.31976     2435.214    1.997     2208.512      631.918
2592.83   -6204.96325     2428.670    1.992     2196.611      640.103
2593.13   -6210.62248     2422.247    1.986     2184.772      648.278
2593.42    -6216.2975     2415.944    1.981     2172.994      656.444
2593.72   -6221.98836     2409.762    1.976     2161.278      664.600
2594.02   -6227.69511     2403.700    1.971     2170.762      672.747
2594.32    -6233.4178     2397.757    1.966     2185.922      680.884
2594.62   -6239.15647     2391.935    1.961     2201.172      689.012
2594.92   -6244.91118     2386.231    1.957     2216.515      697.131
2595.21   -6250.68198     2380.646    1.928     2231.949      705.241
2595.51   -6256.46891     2375.180    1.924     2247.477      713.341
2595.81   -6262.27202     2369.832    1.920     2263.099      721.433
2596.11   -6268.09137     2364.602    1.915     2278.816      729.516
2596.41   -6273.92699     2359.491    1.911     2294.628      737.591
2596.71   -6279.77896     2354.496    1.907     2310.537      745.656
2597.01    -6285.6473     2349.619    1.903     2326.542      753.714
2597.31   -6291.53208     2344.859    1.899     2342.646      761.762
2597.61   -6297.43334     2340.216    1.896     2358.847      769.803
2597.91   -6303.35114     2335.690    1.892     2375.148      777.835
2598.21   -6309.28552     2331.280    1.865     2391.549      785.859
2598.51   -6315.23654     2326.987    1.862     2408.051      793.875
2598.81   -6321.20425     2322.809    1.858     2424.655      801.883
2599.11    -6327.1887     2318.748    1.855     2441.361      809.883
2599.41   -6333.18994     2314.803    1.852     2458.171      817.875
2599.71   -6339.20803     2310.973    1.849     2475.085      825.859
2600.01   -6345.24301     2307.259    1.846     2492.104      833.836
2600.31   -6351.29494     2303.660    1.843     2509.228      841.806
2600.61   -6357.36387     2300.176    1.840     2526.460      849.767
2600.91   -6363.44985     2296.808    1.837     2543.799      857.722
2601.21   -6369.55293     2293.555    1.812     2561.246      865.669
2601.52   -6375.67318     2290.416    1.809     2578.803      873.609
2601.82   -6381.81063     2287.393    1.807     2596.470      881.542
2602.12   -6387.96535     2284.484    1.805     2614.248      889.468
2602.42   -6394.13739     2281.690    1.803     2632.139      897.386
2602.72    -6400.3268     2279.011    1.800     2650.142      905.298
2603.02   -6406.53364     2276.445    1.798     2668.259      913.203
2603.33   -6412.75796     2273.995    1.796     2686.491      921.102
2603.63   -6418.99981     2271.659    1.795     2704.839      928.994
2603.93   -6425.25925     2269.437    1.793     2723.304      936.879
2604.24   -6431.53633     2267.330    1.769     2741.886      944.758
2604.54   -6437.83111     2265.336    1.767     2760.587      952.630
2604.84   -6444.14365     2263.457    1.765     2779.407      960.497
2605.14   -6450.47399     2261.693    1.764     2798.349      968.357
2605.45    -6456.8222     2260.042    1.763     2817.412      976.210
2605.75   -6463.18832     2258.506    1.762     2836.598      984.058
2606.05   -6469.57242     2257.084    1.761     2855.907      991.900
2606.36   -6475.97456     2255.776    1.760     2875.341      999.736
2606.66   -6482.39478     2254.581    1.759     2894.901     1007.566
2606.97   -6488.83314     2253.502    1.758     2914.588     1015.391
2607.27    -6495.2897     2252.536    1.734     2934.403     1023.209
2607.57   -6501.76452     2251.685    1.734     2954.347     1031.022
2607.88   -6508.25765     2250.948    1.733     2974.421     1038.830
2608.18   -6514.76916     2250.325    1.733     2994.626     1046.632
2608.49   -6521.29909     2249.817    1.732     3014.964     1054.429
2608.79   -6527.84751     2249.422    1.732     3035.435     1062.221
 2609.1   -6534.41447     2249.142    1.732     3056.040     1070.007
 2609.4   -6541.00003     2248.977    1.732     3076.782     1077.789
2609.71   -6547.60426     2248.926    1.732     3097.660     1085.565
2610.01    -6554.2272     2248.990    1.709     3118.677     1093.337
2610.32   -6560.86892     2249.167    1.709     3139.833     1101.103
2610.63   -6567.52947     2249.460    1.710     3161.129     1108.865
2610.93   -6574.20892     2249.867    1.710     3182.567     1116.622
2611.24   -6580.90732     2250.390    1.710     3204.148     1124.374
2611.54   -6587.62473     2251.027    1.711     3225.873     1132.122
2611.85   -6594.36122     2251.779    1.711     3247.744     1139.865
2612.16   -6601.11684     2252.646    1.712     3269.761     1147.604
2612.46   -6607.89165     2253.628    1.713     3291.927     1155.338
2612.77   -6614.68571     2254.725    1.714     3314.242     1163.068
2613.08   -6621.49909     2255.938    1.692     3336.707     1170.794
2613.38   -6628.33184     2257.266    1.693     3359.324     1178.516
2613.69   -6635.18402     2258.710    1.694     3382.095     1186.234
 2614.0    -6642.0557     2260.269    1.695     3405.020     1193.948
2614.31   -6648.94693     2261.944    1.696     3428.101     1201.657
2614.61   -6655.85778     2263.735    1.698     3451.340     1209.363
2614.92   -6662.78832     2265.642    1.699     3474.737     1217.066
2615.23   -6669.73859     2267.665    1.701     3498.294     1224.764
2615.54   -6676.70866     2269.804    1.702     3522.014     1232.459
2615.85   -6683.69861     2272.060    1.704     3545.896     1240.150
2616.15   -6690.70848     2274.433    1.683     3569.943     1247.838
