    wave            C        sig  sigcal     lorange    hirange
-------- ------------ ---------- ------- ----------- ----------
 4145.91   3064.90503   1035.136   0.352    2653.069      0.000
 4146.94   2043.34873    656.029   0.328    1654.552      0.000
 4147.97   1533.95612    467.577   0.313    1165.681      0.000
  4149.0   1228.76786    356.159   0.299     878.887      0.000
 4150.03   1025.49881    283.236   0.283     692.199      0.000
 4151.06    880.40225    232.187   0.272     562.125      0.000
  4152.1    771.63421    194.694   0.259     467.032      0.000
 4153.13    687.07075    166.148   0.248     394.967      0.000
 4154.16    619.44272    143.797   0.237     338.808      0.000
 4155.19    564.12686    125.900   0.228     294.054      0.000
 4156.22    518.04241    111.304   0.219     257.725      0.000
 4157.25    479.05728     99.215   0.211     227.780      0.000
 4158.28    445.64904     89.073   0.204     202.772      0.000
 4159.31    416.70154     80.468   0.197     181.649      0.000
 4160.34    391.37783     73.095   0.191     163.632      0.000
 4161.37    369.03803     66.725   0.184     148.131      0.000
  4162.4    349.18454     61.179   0.179     134.691      0.000
 4163.43    331.42457     56.318   0.173     122.958      0.000
 4164.45    315.44395     52.033   0.168     112.652      0.000
 4165.48    300.98834     48.233   0.163     103.547      0.000
 4166.51    287.84972     44.848   0.158      95.463      0.000
 4167.54    275.85623     41.818   0.154      88.252      0.000
 4168.57    264.86467     39.095   0.150      81.792      0.000
  4169.6    254.75476     36.640   0.146      75.982      0.000
 4170.63    245.42475     34.417   0.142      70.736      0.000
 4171.65    236.78796     32.398   0.139      65.985      0.000
 4172.68    228.77009     30.559   0.135      61.668      0.000
 4173.71     221.3071     28.880   0.132      57.733      0.000
 4174.74    214.34349     27.342   0.129      54.137      0.000
 4175.76    207.83092     25.930   0.126      50.843      0.000
 4176.79     201.7271     24.631   0.123      47.816      0.769
 4177.82    195.99488     23.433   0.121      45.030      1.517
 4178.84    190.60145     22.327   0.118      42.460      2.185
 4179.87    185.51777     21.302   0.116      40.084      2.783
  4180.9    180.71804     20.353   0.114      37.883      3.319
 4181.92    176.17923     19.470   0.111      35.840      3.800
 4182.95    171.88074     18.649   0.109      33.941      4.232
 4183.97    167.80409     17.884   0.107      32.173      4.621
  4185.0    163.93264     17.171   0.105      30.523      4.971
 4186.02    160.25138     16.503   0.103      28.983      5.286
 4187.05    156.74672     15.880   0.102      27.542      5.569
 4188.07    153.40636     15.295   0.100      26.192      5.825
  4189.1    150.21908     14.747   0.099      24.926      6.056
 4190.12    147.17469     14.232   0.097      23.737      6.264
 4191.15    144.26387     13.748   0.096      22.619      6.452
 4192.17    141.47811     13.292   0.094      21.566      6.621
  4193.2    138.80958     12.863   0.093      20.574      6.773
 4194.22    136.25111     12.459   0.092      19.638      6.910
 4195.24    133.79611     12.077   0.090      18.754      7.034
 4196.27     131.4385     11.716   0.089      17.919      7.145
 4197.29    129.17265     11.375   0.088      17.128      7.244
 4198.32    126.99338     11.053   0.087      16.379      7.333
 4199.34    124.89588     10.747   0.086      15.669      7.413
 4200.36     122.8757     10.457   0.085      14.995      7.484
 4201.38     120.9287     10.182   0.084      14.355      7.547
 4202.41    119.05102      9.922   0.083      13.747      7.603
 4203.43     117.2391      9.674   0.082      13.169      7.652
 4204.45    115.48959      9.438   0.081      12.618      7.696
 4205.47    113.79937      9.214   0.081      12.094      7.733
  4206.5    112.16554      9.001   0.080      11.594      7.766
 4207.52    110.58536      8.798   0.079      11.117      7.794
 4208.54     109.0563      8.605   0.078      10.781      7.818
 4209.56    107.57594      8.420   0.078      10.494      7.838
 4210.58    106.14206      8.244   0.077      10.219      7.854
  4211.6    104.75255      8.076   0.076       9.956      7.868
 4212.62    103.40542      7.916   0.076       9.703      7.878
 4213.65     102.0988      7.762   0.075       9.460      7.885
 4214.67    100.83094      7.615   0.075       9.228      7.890
 4215.69     99.60018      7.475   0.074       9.004      7.892
 4216.71     98.40496      7.340   0.074       8.789      7.892
 4217.73      97.2438      7.212   0.073       8.582      7.891
 4218.75     96.11531      7.088   0.073       8.384      7.887
 4219.77     95.01817      6.970   0.072       8.192      7.882
 4220.79     93.95112      6.856   0.072       8.008      7.875
 4221.81     92.91298      6.748   0.072       7.830      7.867
 4222.82     91.90263      6.643   0.071       7.658      7.857
 4223.84     90.91901      6.542   0.071       7.493      7.847
 4224.86      89.9611      6.446   0.071       7.334      7.835
 4225.88     89.02794      6.353   0.070       7.179      7.822
  4226.9     88.11863      6.264   0.070       7.031      7.809
 4227.92     87.23229      6.178   0.070       6.887      7.795
 4228.94     86.36809      6.095   0.069       6.748      7.779
 4229.96     85.52525      6.015   0.069       6.613      7.764
 4230.97     84.70302      5.938   0.069       6.483      7.747
 4231.99     83.90069      5.864   0.069       6.357      7.730
 4233.01     83.11757      5.793   0.068       6.235      7.713
 4234.03     82.35301      5.724   0.068       6.117      7.695
 4235.04     81.60639      5.657   0.068       6.003      7.676
 4236.06     80.87711      5.593   0.068       5.892      7.658
 4237.08     80.16461      5.531   0.067       5.784      7.639
 4238.09     79.46835      5.471   0.067       5.680      7.619
 4239.11      78.7878      5.413   0.067       5.578      7.600
 4240.13     78.12246      5.357   0.067       5.480      7.580
 4241.14     77.47187      5.303   0.067       5.384      7.560
 4242.16     76.83556      5.250   0.067       5.292      7.540
 4243.18     76.21309      5.200   0.067       5.202      7.519
 4244.19     75.60405      5.151   0.066       5.114      7.499
 4245.21     75.00802      5.103   0.066       5.029      7.479
 4246.22     74.42464      5.057   0.066       4.946      7.458
 4247.24     73.85351      5.012   0.066       4.865      7.437
 4248.25      73.2943      4.969   0.066       4.787      7.417
 4249.27     72.74664      4.927   0.066       4.711      7.396
 4250.28     72.21022      4.886   0.066       4.636      7.375
  4251.3     71.68472      4.846   0.066       4.564      7.355
 4252.31     71.16982      4.808   0.066       4.494      7.334
 4253.33     70.66524      4.770   0.065       4.425      7.313
 4254.34      70.1707      4.734   0.065       4.358      7.293
 4255.36     69.68592      4.698   0.065       4.293      7.272
 4256.37     69.21063      4.664   0.065       4.229      7.252
 4257.38     68.74459      4.631   0.065       4.167      7.232
  4258.4     68.28756      4.598   0.065       4.107      7.211
 4259.41     67.83929      4.567   0.065       4.048      7.191
 4260.42     67.39956      4.536   0.065       3.990      7.171
 4261.44     66.96814      4.506   0.065       3.934      7.151
 4262.45     66.54484      4.477   0.065       3.879      7.131
 4263.46     66.12944      4.449   0.065       3.825      7.112
 4264.47     65.72175      4.421   0.065       3.773      7.092
 4265.49     65.32158      4.394   0.065       3.722      7.072
  4266.5     64.92873      4.368   0.065       3.672      7.053
 4267.51     64.54304      4.343   0.065       3.623      7.034
