   wave         C       sig  sigcal lorange hirange
------- --------- --------- ------- ------- -------
3770.37 111.37637    29.618   0.110  20.909  19.885
3770.95 111.30223    29.270   0.108  20.664  19.262
3771.53 111.22764    28.932   0.107  20.419  18.647
3772.11 111.15261    28.605   0.106  20.174  18.042
3772.69 111.07714    28.287   0.105  19.928  17.445
3773.27 111.00123    27.978   0.104  19.683  16.858
3773.86 110.92489    27.679   0.103  19.438  16.278
3774.44 110.84811    27.388   0.102  19.192  15.708
3775.02  110.7709    27.107   0.101  18.947  15.145
 3775.6 110.69327    26.834   0.100  18.702  14.590
3776.18 110.61521    26.570   0.099  18.456  14.044
3776.76 110.53673    26.314   0.098  18.211  13.505
3777.35 110.45783    26.067   0.098  17.965  12.974
3777.93 110.37852    25.827   0.097  17.720  12.450
3778.51 110.29879    25.595   0.096  17.475  11.934
3779.09 110.21865    25.372   0.095  17.230  11.425
3779.68  110.1381    25.155   0.095  16.984  10.924
3780.26 110.05715    24.946   0.094  16.739  10.429
3780.84  109.9758    24.745   0.093  16.494   9.941
3781.42 109.89404    24.550   0.093  16.249   9.461
3782.01 109.81189    24.363   0.092  16.004   8.986
3782.59 109.72934    24.182   0.091  15.760   8.519
3783.17  109.6464    24.009   0.091  15.515   8.058
3783.76 109.56307    23.841   0.090  15.270   7.603
3784.34 109.47935    23.680   0.090  15.026   7.155
3784.92 109.39525    23.526   0.089  14.782   6.713
3785.51 109.31077    23.377   0.089  14.538   6.277
3786.09 109.22591    23.234   0.089  14.294   5.847
3786.67 109.14068    23.097   0.088  14.050   5.423
3787.26 109.05507    22.966   0.088  13.806   5.005
3787.84 108.96909    22.841   0.087  13.563   4.592
3788.42 108.88274    22.721   0.087  13.319   4.185
3789.01 108.79603    22.606   0.087  13.076   3.784
3789.59 108.70896    22.496   0.086  12.833   3.388
3790.17 108.62152    22.392   0.086  12.591   2.998
3790.76 108.53373    22.293   0.086  12.348   2.613
3791.34 108.44558    22.198   0.085  12.106   2.233
3791.93 108.35708    22.108   0.085  11.864   1.858
3792.51 108.26824    22.022   0.085  11.622   1.488
3793.09 108.17904    21.941   0.085  11.381   1.124
3793.68 108.08951    21.864   0.085  11.140   0.764
3794.26 107.99963    21.792   0.085  10.899   0.409
3794.85 107.90941    21.724   0.084  10.658   0.059
3795.43 107.81886    21.659   0.084  10.418   0.000
3796.02 107.72797    21.599   0.084  10.178   0.000
 3796.6 107.63675    21.542   0.084   9.938   0.000
3797.19 107.54521    21.489   0.084   9.698   0.000
3797.77 107.45334    21.439   0.084   9.459   0.000
3798.36 107.36114    21.393   0.084   9.220   0.000
3798.94 107.26863    21.350   0.083   8.982   0.000
3799.53  107.1758    21.310   0.084   8.744   0.000
3800.11 107.08265    21.274   0.083   8.506   0.000
 3800.7 106.98919    21.240   0.083   8.269   0.000
3801.28 106.89542    21.210   0.083   8.032   0.000
3801.87 106.80135    21.182   0.083   7.795   0.000
3802.45 106.70696    21.157   0.083   7.559   0.000
3803.04 106.61228    21.135   0.083   7.323   0.000
3803.62  106.5173    21.115   0.083   7.088   0.000
