   wave               C          sig   sigcal     lorange      hirange
------- --------------- ------------ -------- ----------- ------------
2664.97      -5045.7078    20548.041   15.206    3388.452      459.693
2665.15     -5049.03207    20815.210   15.403    3418.476      455.037
2665.33      -5052.3797    21089.213   15.606    3448.774      450.360
2665.52     -5055.75081    21370.311   15.814    3479.350      445.661
 2665.7     -5059.14552    21658.778   16.027    3510.207      440.940
2665.89     -5062.56393    21954.906   16.247    3541.350      436.196
2666.07     -5066.00616    22258.998   16.472    3572.782      431.430
2666.26     -5069.47234    22571.376   16.477    3604.508      426.641
2666.44     -5072.96258    22892.378   16.711    3636.531      421.829
2666.63     -5076.47699    23222.363   16.952    3668.855      416.993
2666.81      -5080.0157    23561.709   17.200    3701.486      412.134
 2667.0     -5083.57883    23910.813   17.455    3734.427      407.251
2667.18     -5087.16649    24270.098   17.717    3767.683      402.345
2667.37     -5090.77881    24640.012   17.987    3801.258      397.413
2667.56     -5094.41591    25021.026   18.265    3835.156      392.458
2667.74     -5098.07792    25413.643   18.552    3869.383      387.477
2667.93     -5101.76496    25818.395   18.847    3903.943      382.472
2668.12     -5105.47715    26235.848   19.152    3938.842      377.441
 2668.3     -5109.21462    26666.602   19.467    3974.083      372.385
2668.49     -5112.97749    27111.297   19.791    4009.672      367.303
2668.68     -5116.76591    27570.614   20.127    4045.614      362.194
2668.87     -5120.57998    28045.279   20.473    4081.915      357.060
2669.05     -5124.41985    28536.067   20.546    4118.579      351.899
2669.24     -5128.28564    29043.807   20.912    4155.612      346.710
2669.43     -5132.17749    29569.383   21.290    4193.020      341.495
2669.62     -5136.09552    30113.745   21.682    4230.808      336.252
2669.81     -5140.03988    30677.909   22.088    4268.981      330.982
 2670.0     -5144.01069    31262.967   22.509    4307.547      325.683
2670.19     -5148.00809    31870.092   22.946    4346.510      320.356
2670.38     -5152.03222    32500.547   23.400    4385.877      315.000
2670.57     -5156.08321    33155.692   23.872    4425.654      309.616
2670.76      -5160.1612    33836.996   24.363    4465.848      304.202
2670.95     -5164.26633    34546.047   24.873    4506.464      298.758
2671.14     -5168.39875    35284.563   25.405    4547.510      293.285
2671.33     -5172.55858    36054.408   25.959    4588.991      287.781
2671.52     -5176.74598    36857.604   26.537    4630.916      282.247
2671.71     -5180.96109    37696.354   26.764    4673.291      276.682
 2671.9     -5185.20405    38573.057   27.387    4716.123      271.086
2672.09     -5189.47501    39490.335   28.038    4759.419      265.459
2672.28     -5193.77411    40451.054   28.720    4803.187      259.799
2672.47     -5198.10151    41458.360   29.435    4847.435      254.108
2672.67     -5202.45734    42515.706   30.186    4892.170      248.384
2672.86     -5206.84177    43626.897   30.975    4937.400      242.627
2673.05     -5211.25493    44796.135   31.805    4983.134      236.836
2673.24     -5215.69699    46028.069   32.680    5029.378      231.013
2673.44      -5220.1681    47327.858   33.603    5076.143      225.155
2673.63      -5224.6684    48701.242   34.578    5123.437      219.263
2673.82     -5229.19806    50154.630   35.610    5171.267      213.336
2674.02     -5233.75723    51695.194   36.704    5219.645      207.374
2674.21     -5238.34607    53330.992   37.865    5268.578      201.377
 2674.4     -5242.96474    55071.103   38.550    5318.075      195.344
 2674.6      -5247.6134    56925.802   39.848    5368.148      189.274
2674.79     -5252.29221    58906.757   41.235    5418.805      183.168
2674.99     -5257.00133    61027.274   42.719    5470.056      177.026
2675.18     -5261.74093    63302.598   44.312    5521.913      170.845
2675.38     -5266.51117    65750.278   46.025    5574.384      164.627
2675.57     -5271.31222    68390.621   47.873    5627.482      158.370
2675.77     -5276.14424    71247.249   49.873    5681.216      152.075
2675.96     -5281.00741    74347.816   52.043    5735.599      145.741
2676.16     -5285.90189    77724.895   54.407    5790.641      139.367
2676.35     -5290.82785    81417.129   56.992    5846.355      132.953
2676.55     -5295.78548    85470.714   59.829    5902.753      126.499
2676.75     -5300.77494    89941.337   62.959    5959.847      120.004
2676.94     -5305.79641    94896.746   65.479    6017.649      113.468
2677.14     -5310.85006   100420.203   69.290    6076.172      106.889
2677.34     -5315.93607   106615.191   73.564    6135.430      100.269
2677.54     -5321.05463   113611.957   78.392    6195.437       93.606
2677.73     -5326.20591   121576.754   83.888    6256.205       86.900
2677.93      -5331.3901   130725.212   90.200    6317.750       80.149
2678.13     -5336.60738   141342.137   97.526    6380.086       73.355
2678.33     -5341.85794   153811.673  106.130    6443.228       66.516
2678.52     -5347.14195   168664.742  116.379    6507.190       59.632
2678.72     -5352.45962   186656.565  128.793    6571.990       52.702
2678.92     -5357.81113   208899.083  144.140    6637.642       45.726
2679.12     -5363.19666   237099.783  163.599    6704.163       38.704
2679.32     -5368.61643   274022.050  186.335    6771.571       31.633
2679.52     -5374.07061   324450.616  220.626    6839.882       24.516
2679.72     -5379.55941   397453.390  270.268    6909.115       17.349
2679.92     -5385.08301   512556.041  348.538    6979.287       10.134
2680.12     -5390.64163   720925.292  490.229    7050.417        2.869
2680.32     -5396.23546  1213109.122  824.914    7122.525        0.000
2680.52     -5401.86471  3806892.969 2588.687    7195.630        0.000
2680.72     -5407.52957  3357684.836 2283.226    7269.752        0.000
2680.92     -5413.23025  1166617.379  793.300    7344.913        0.000
2681.12     -5418.96697   706527.457  480.439    7421.132        0.000
2681.32     -5424.73992   506997.433  344.758    7498.433        0.000
2681.53     -5430.54933   395532.186  268.962    7576.838        0.000
2681.73     -5436.39539   324370.854  217.328    7656.370        0.000
2681.93     -5442.27834   275001.662  184.251    7737.053        0.000
2682.13     -5448.19837   238744.354  159.959    7818.910        0.000
2682.33     -5454.15571   210988.370  141.362    7901.968        0.000
2682.54     -5460.15059   189058.004  126.669    7986.252        0.000
2682.74     -5466.18321   171293.805  114.767    8071.789        0.000
2682.94      -5472.2538   156611.944  104.930    8158.605        0.000
2683.14     -5478.36259   144274.543   96.664    8246.729        0.000
2683.35     -5484.50981   133761.842   89.620    8336.190        0.000
2683.55     -5490.69568   124697.155   83.547    8427.018        0.000
2683.76     -5496.92043   116800.807   78.257    8519.243        0.000
2683.96      -5503.1843   109860.793   72.508    8612.897        0.000
2684.16     -5509.48752   103713.480   68.451    8708.011        0.000
2684.37     -5515.83033    98230.556   64.832    8804.621        0.000
2684.57     -5522.21296    93309.988   61.585    8902.760        0.000
2684.78     -5528.63565    88869.619   58.654    9002.463        0.000
2684.98     -5535.09866    84842.559   55.996    9103.767        0.000
2685.19     -5541.60221    81173.790   53.575    9206.710        0.000
2685.39     -5548.14656    77817.650   51.360    9311.332        0.000
 2685.6     -5554.73196    74735.920   49.326    9417.671        0.000
 2685.8     -5561.35866    71896.372   47.452    9525.769        0.000
2686.01     -5568.02691    69271.635   45.719    9635.670        0.000
2686.22     -5574.73697    66838.318   43.445    9747.417        0.000
2686.42     -5581.48908    64576.307   41.975    9861.056        0.000
2686.63     -5588.28352    62468.217   40.604    9976.633        0.000
2686.84     -5595.12055    60498.937   39.324   10094.198        0.000
2687.04     -5602.00042    58655.278   38.126   10213.801        0.000
2687.25      -5608.9234    56925.669   37.002   10335.493        0.000
2687.46     -5615.88977    55299.923   35.945   10459.328        0.000
2687.67     -5622.89979    53769.035   34.950   10585.362        0.000
2687.87     -5629.95374    52325.010   34.011   10713.652        0.000
2688.08     -5637.05189    50960.735   33.124   10844.257        0.000
2688.29     -5644.19451    49669.851   32.285   10977.239        0.000
 2688.5      -5651.3819    48446.664   31.006   11112.661        0.000
2688.71     -5658.61434    47286.054   30.263   11250.590        0.000
2688.92      -5665.8921    46183.408   29.557   11391.093        0.000
2689.13     -5673.21548    45134.561   28.886   11534.242        0.000
2689.33     -5680.58476    44135.738   28.247   11680.109        0.000
2689.54     -5688.00025    43183.513   27.637   11828.770        0.000
2689.75     -5695.46223    42274.768   27.056   11980.305        0.000
2689.96       -5702.971    41406.662   26.500   12134.796        0.000
2690.17     -5710.52688    40576.599   25.969   12292.326        0.000
2690.38     -5718.13014    39782.201   25.461   12452.985        0.000
 2690.6     -5725.78112    39021.290   24.583   12616.863        0.000
2690.81     -5733.48011    38291.865   24.124   12784.057        0.000
2691.02     -5741.22742    37592.082   23.683   12954.664        0.000
2691.23     -5749.02337    36920.246   23.260   13128.789        0.000
2691.44     -5756.86829    36274.791   22.853   13306.537        0.000
2691.65     -5764.76248    35654.269   22.462   13488.020        0.000
2691.86     -5772.70627    35057.342   22.086   13673.354        0.000
2692.07     -5780.69999    34482.768   21.724   13862.659        0.000
2692.29     -5788.74397    33929.398   21.376   14056.062        0.000
 2692.5     -5796.83854    33396.163   21.040   14253.694        0.000
2692.71     -5804.98403    32882.071   20.387   14455.690        0.000
2692.92     -5813.18078    32386.198   20.079   14662.194        0.000
2693.14     -5821.42914    31907.685   19.783   14873.354        0.000
2693.35     -5829.72945    31445.730   19.496   15089.327        0.000
2693.56     -5838.08206    30999.586   19.220   15310.273        0.000
2693.78     -5846.48732    30568.558   18.953   15536.363        0.000
2693.99     -5854.94558    30151.996   18.694   15767.775        0.000
2694.21     -5863.45719    29749.293   18.445   16004.693        0.000
2694.42     -5872.02253    29359.883   18.203   16247.312        0.000
2694.63     -5880.64196    28983.238   17.970   16495.836        0.000
2694.85     -5889.31584    28618.864   17.458   16750.477        0.000
2695.06     -5898.04454    28266.302   17.242   17011.460        0.000
2695.28     -5906.82845    27925.123   17.034   17279.018        0.000
2695.49     -5915.66793    27594.926   16.833   17553.398        0.000
2695.71     -5924.56337    27275.341   16.638   17834.858        0.000
2695.93     -5933.51515    26966.022   16.449   18123.670        0.000
2696.14     -5942.52367    26666.648   16.267   18420.119        0.000
2696.36     -5951.58931    26376.924   16.090   18724.506        0.000
2696.57     -5960.71248    26096.576   15.919   19037.147        0.000
2696.79     -5969.89357    25825.353   15.495   19358.376        0.000
2697.01       -5979.133    25563.025   15.338   19688.545        0.000
2697.22     -5988.43115    25309.384   15.186   20028.023        0.000
2697.44     -5997.78846    25064.241   15.039   20377.202        0.000
2697.66     -6007.20532    24827.429   14.896   20736.497        0.000
2697.87     -6016.68218    24598.799   14.759   21106.344        0.000
2698.09     -6026.21944    24378.222   14.627   21487.207        0.000
2698.31     -6035.81753    24165.590   14.499   21879.575        0.000
2698.53      -6045.4769    23960.814   14.376   22283.969        0.000
2698.75     -6055.19797    23763.825   14.258   22700.940        0.000
2698.97     -6064.98119    23574.574   13.909   23131.073        0.000
2699.18       -6074.827    23393.034   13.802   23574.990        0.000
 2699.4     -6084.73585    23219.199   13.699   24033.354        0.000
2699.62      -6094.7082    23053.084   13.601   24506.869        0.000
2699.84      -6104.7445    22894.729   13.508   24996.286        0.000
2700.06     -6114.84521    22744.199   13.419   25502.408        0.000
2700.28     -6125.01082    22601.583   13.335   26026.090        0.000
 2700.5     -6135.24178    22466.999   13.256   26568.248        0.000
2700.72     -6145.53857    22340.590   13.181   27129.862        0.000
2700.94     -6155.90168    22222.536   12.889   27711.984        0.000
2701.16      -6166.3316    22113.045   12.826   28315.740        0.000
2701.38      -6176.8288    22012.363   12.767   28942.341        0.000
 2701.6      -6187.3938    21920.776   12.714   29593.092        0.000
2701.82     -6198.02709    21838.610   12.666   30269.397        0.000
2702.04     -6208.72919    21766.237   12.624   30972.770        0.000
2702.27     -6219.50059    21704.080   12.588   31704.849        0.000
2702.49     -6230.34182    21652.616   12.559   32467.405        0.000
2702.71      -6241.2534    21612.384   12.535   33262.357        0.000
2702.93     -6252.23586    21583.986   12.303   34091.790        0.000
2703.15     -6263.28973    21568.100   12.294   34957.972        0.000
2703.38     -6274.41555    21565.485   12.292   35863.370        0.000
 2703.6     -6285.61387    21576.987   12.299   36810.681        0.000
2703.82     -6296.88523    21603.557   12.314   37802.853        0.000
2704.04     -6308.23018    21646.252   12.338   38843.116        0.000
2704.27      -6319.6493    21706.258   12.373   39935.017        0.000
2704.49     -6331.14315    21784.898   12.417   41082.463        0.000
2704.72     -6342.71229    21883.653   12.255   42289.762        0.000
2704.94     -6354.35732    22004.181   12.322   43561.680        0.000
2705.16     -6366.07881    22148.337   12.403   44903.501        0.000
2705.39     -6377.87735    22318.207   12.498   46321.102        0.000
2705.61     -6389.75355    22516.128   12.609   47821.037        0.000
