    wave              C          sig    sigcal       lorange     hirange
-------- -------------- ------------ --------- ------------- -----------
 4137.69     -175.97575       52.672     0.328       132.105       0.000
 4138.73     -182.21772       57.683     0.346       144.820       0.000
 4139.77     -188.89114       63.468     0.367       159.495       0.000
 4140.81     -196.04219       70.200     0.392       176.567       0.000
 4141.86     -203.72387       78.103     0.419       196.606       0.000
  4142.9     -211.99733       87.473     0.450       220.366       0.000
 4143.94     -220.93349       98.709     0.488       248.865       0.000
 4144.98     -230.61507      112.360     0.531       283.512       0.000
 4146.03     -241.13914      129.202     0.584       326.308       0.000
 4147.07      -252.6204      150.364     0.650       380.178       0.000
 4148.11     -265.19537      177.552     0.730       449.574       0.000
 4149.15     -279.02781      213.455     0.832       541.593       0.000
 4150.19     -294.31589      262.571     0.972       668.249       0.000
 4151.23     -311.30172      333.004     1.166       851.545       0.000
 4152.27     -330.28426      440.961     1.451      1136.441       0.000
 4153.31     -351.63706      624.320     1.929      1630.968       0.000
 4154.35     -375.83298      998.463     2.886      2675.301       0.000
 4155.39     -403.47969     2194.882     5.904      6181.083       0.000
 4156.43     -435.37123    15890.156    39.725       389.452   43458.192
 4157.47     -472.56557    10732.590    24.685       503.384    5533.422
 4158.51     -516.50406     2247.419     4.720       677.231    3210.581
 4159.55     -569.20243     1523.502     2.910       965.550    2407.393
 4160.59     -633.56864     1355.126     2.317      1511.274    2030.059
 4161.63     -713.95785     1557.441     2.367      2835.947    1840.861
 4162.67     -817.20072     3566.110     4.743      9391.118    1762.438
 4163.71     -954.65351     4547.031     5.184      1432.396   12722.002
 4164.75    -1146.69031     2387.388     2.244      2775.035    4890.277
 4165.78    -1433.87104     4178.287     3.175      9461.512    3663.679
 4166.82    -1910.17162    14939.554     8.516     36058.554   16055.057
 4167.86    -2854.07955     3837.452     1.458         0.000   10192.276
  4168.9    -5617.98667     8898.371     1.691         0.000    8971.886
 4169.94  -156622.37421    55729.601     0.557         0.000  158799.484
 4170.97     6080.14834     1947.356     0.351      5662.617       0.000
 4172.01     2988.96286      925.181     0.333      2598.149       0.000
