   wave              C           sig   sigcal     lorange       hirange
------- -------------- ------------- -------- ----------- -------------
2591.61    13104.57971     64838.786   20.748  104111.801      3391.335
2591.85    13397.44132     68775.540   21.320   96533.712      3443.567
 2592.1    13703.27879     76027.802   23.569   90227.759      3496.960
2592.35    14022.97192     88596.479   26.579   84915.075      3551.520
 2592.6     14357.4819    111064.963   32.209   80394.028      3607.243
2592.85    14707.86089    156235.507   43.746   76515.349      3664.121
 2593.1    15075.26308    277689.424   77.753   73166.305      3722.133
2593.35    15460.95738   1357880.280  366.628   70260.305      3781.250
 2593.6      15866.342    482074.608  125.339   67729.881      3841.427
2593.85    16292.96136    211054.993   54.874   65521.835      3902.601
 2594.1    16742.52573    139023.803   34.756   63593.813      3964.688
2594.35     17216.9341    106306.925   25.514   61911.850      4027.580
 2594.6    17718.30094     87951.314   21.108   60448.568      4091.135
2594.85    18248.98767     76399.904   17.572   59181.857      4155.173
 2595.1    18811.63976     68588.570   15.089   58093.886      4219.464
2595.35    19409.23083     63043.388   13.870   57170.363      4283.719
 2595.6    20045.11509     58970.223   12.384   56399.982      4347.577
2595.86    20723.09028     55905.097   11.181   55774.015      4410.583
2596.11    21447.47348     53559.940   10.176   55286.008      4472.170
2596.36    22223.19303     51747.249    9.832   54931.581      4531.626
2596.61    23055.90067     50340.313    9.061   54708.297      4588.061
2596.86    23952.10935     49250.881    8.373   54615.607      4640.360
2597.11    24919.36373     48415.984    8.231   54654.864      4687.118
2597.37    25966.45293     47789.836    7.646   54829.403      4726.565
2597.62    27103.67815     47338.688    7.101   55144.705      4756.456
2597.87     28343.1924     47037.473    7.056   55608.645      4773.937
2598.13    29699.43629     46867.572    6.561   56231.854      4775.351
2598.38    31189.70277     46815.325    6.086   57028.223      4755.986
2598.63    32834.87805     46871.030    6.093   58015.588      4709.728
2598.89    34660.42593     47028.322    5.643   59216.674      4628.565
2599.14    36697.71469     47283.820    5.201   60660.377      4501.910
2599.39    38985.83369     47637.037    5.240   62383.556      4315.607
2599.65    41574.12484     48090.550    4.809   64433.531      4050.498
 2599.9    44525.77976     48650.471    4.379   66871.658      3680.279
2600.15    47923.06586     49327.359    4.439   69778.533      3168.250
2600.41      51875.112     50137.756    4.011   73261.761      2462.242
2600.66    56529.84615     51106.792    3.577   77467.877      1486.467
2600.92    62092.92069     52272.562    3.659   82601.258       128.027
2601.17    68858.91254     53693.765    3.222   88955.310         0.000
2601.43    77265.21269     55463.583    2.773   96966.349         0.000
2601.68    87990.50986     57736.285    2.887  107312.072         0.000
2601.94   102147.80883     60781.948    2.431  121104.571         0.000
 2602.2   121698.01415     65109.399    1.953  140303.906         0.000
2602.45   150447.30815     71776.791    2.153  168715.478         0.000
2602.71     196885.478     83314.511    1.666  214828.352         0.000
2602.96   284590.95062    107234.462    1.072  302220.282         0.000
2603.22   512554.29838    176889.299    1.769  529881.216         0.000
2603.48  2559549.04036    877386.319    0.000 2576584.094         0.000
2603.73  -856798.45337    344455.007    0.000       0.000   1150169.829
2603.99   -367313.5867    224651.866    2.247       0.000    807615.158
2604.25  -233901.64012    330689.432    6.614       0.000   1114183.440
 2604.5  -171655.39072 111385833.000 2227.717       0.000 318487647.687
2604.76  -135621.99381    327641.199    9.829  751375.161    167700.131
2605.02   -112123.6488    183951.505    7.358  331213.883    145108.228
2605.28   -95588.69118    141515.916    5.661  200137.299    129531.882
2605.53   -83321.39302    123517.597    6.176  138650.880    118279.997
2605.79   -73858.44981    114999.215    6.900  103878.622    109894.468
2606.05   -66336.92672    111159.007    6.670   81917.373    103518.214
2606.31   -60215.00017    110042.094    7.703   66983.981     98616.026
2606.57   -55135.30726    110740.497    7.752   56274.417     94838.042
2606.83   -50852.60462    112806.003    9.024   48278.031     91947.566
2607.08   -47192.99572    116022.817   10.442   42115.377     89780.476
2607.34   -44029.74449    120309.858   10.828   37242.982     88221.273
 2607.6   -41268.30311    125677.385   12.568   33308.635     87188.388
2607.86   -38836.70321    132210.080   14.543   30075.043     86624.930
2608.12   -36679.19524    140065.927   15.407   27377.069     86492.760
2608.38   -34751.92329    149487.685   17.939   25096.600     86768.725
2608.64   -33019.91395    160828.306   19.299   23147.136     87442.360
 2608.9   -31454.93589    174596.073   22.697   21464.023     88514.659
2609.16   -30033.94989    191532.069   26.814   19998.061     89997.717
2609.42   -28737.96773    212745.780   29.784   18711.207     91915.167
2609.68   -27551.19924    239963.436   35.995   17573.629     94303.428
