    wave             C         sig   sigcal     lorange     hirange
-------- ------------- ----------- -------- ----------- -----------
 4168.38    -214.79255      65.899    0.192       7.087      70.784
 4169.39    -228.49058      74.271    0.204       7.184      78.516
  4170.4    -244.00181      84.505    0.217       8.607      87.569
 4171.41    -261.71138      97.242    0.232      10.386      98.261
 4172.42    -282.12185     113.443    0.252      12.642     111.022
 4173.43    -305.90157     134.623    0.275      15.553     126.429
 4174.44    -333.95922     163.300    0.305      19.386     145.284
 4175.45    -367.56254     203.988    0.347      24.555     168.726
 4176.46    -408.53505     265.617    0.406      31.733     198.419
 4177.47     -459.5982     368.584    0.498      42.066     236.890
 4178.48    -525.00153     571.249    0.674      57.643     288.146
 4179.49    -611.77049    1130.054    1.153      82.583     358.905
  4180.5    -732.41529    7474.301    6.353     125.955     461.286
 4181.51    -911.58151    2163.983    1.472     211.079     619.420
 4182.51   -1205.47552    1227.899    0.626     414.170     888.835
 4183.52   -1776.17528    1294.757    0.453    1122.103    1430.685
 4184.53   -3362.77058    4629.521    0.833   10227.359    2982.778
 4185.54  -30629.37611   11036.999    0.221       0.000   35707.360
 4186.55    4325.86511    6433.425    0.901   21149.806       0.000
 4187.56    2023.99218    2099.035    0.630    3111.055    3529.916
 4188.56    1322.63466    1233.672    0.580    2816.614    1065.486
 4189.57     983.14173    1238.250    0.780    3366.104     539.815
 4190.58     782.89293    2244.598    1.773    6638.084     336.067
 4191.58     650.80223    4561.710    4.288    1874.371   12299.700
 4192.59     557.13413    1409.654    1.551    2337.380    2525.763
  4193.6     487.25413    1511.656    1.905    3743.840    1265.073
 4194.61      433.1225    6684.741    9.492   19183.463     792.196
 4195.61     389.95563    2100.908    3.298      39.100    4622.782
 4196.62     354.72917    2852.466    4.906      33.215    1860.594
 4197.62     325.43739    3827.753    7.196      28.652    1098.262
 4198.63      300.6976     990.982    2.012      25.037     749.202
 4199.64      279.5257     545.050    1.188      22.119     552.676
 4200.64     261.20221     366.040    0.853      19.726     428.514
 4201.65     245.18889     270.213    0.670      17.737     344.019
 4202.65      231.0751     210.908    0.555      16.063     283.436
 4203.66     218.54207     170.838    0.475      14.641     238.273
 4204.66     207.33858     142.117    0.416      13.420     203.571
 4205.67     197.26396     120.636    0.372      12.363     176.253
 4206.67       188.156     104.044    0.335      11.441     154.314
 4207.68     179.88215      90.901    0.306      10.632     136.399
 4208.68     172.33303      80.275    0.282       9.917     121.561
 4209.69     165.41759      71.538    0.262       9.281     109.118
 4210.69     159.05941      64.252    0.244       8.714      98.572
 4211.69      153.1939      58.101    0.229       8.204      89.550
  4212.7     147.76607      52.854    0.216       7.745      81.765
  4213.7     142.72881      48.337    0.204       7.330      74.998
 4214.71     138.04157      44.416    0.194       6.952      69.076
 4215.71      133.6692      40.989    0.184       6.608      63.861
 4216.71     129.58112      37.973    0.176       6.293      59.243
 4217.72     125.75056      35.304    0.169       6.004      55.134
 4218.72     122.15405      32.929    0.162       5.738      51.460
 4219.72     118.77085      30.806    0.156       5.492      48.160
 4220.72     115.58263      28.898    0.150       5.266      45.185
 4221.73     112.57309      27.178    0.145       5.055      42.493
 4222.73     109.72769      25.622    0.140       4.859      40.048
 4223.73     107.03344      24.208    0.135       4.677      37.821
 4224.73     104.47867      22.919    0.131       4.507      35.786
 4225.73     102.05291      21.741    0.127       4.348      33.921
 4226.74      99.74669      20.661    0.124       4.199      32.208
 4227.74      97.55144      19.669    0.120       4.060      30.631
 4228.74      95.45941      18.754    0.117       3.928      29.174
 4229.74      93.46355      17.910    0.114       3.805      27.827
 4230.74      91.55742      17.128    0.111       3.688      26.577
 4231.74      89.73518      16.402    0.108       3.578      25.417
 4232.74      87.99144      15.729    0.106       3.474      24.336
 4233.74       86.3213      15.101    0.104       3.376      23.329
 4234.74      84.72025      14.515    0.101       3.283      22.388
 4235.75      83.18412      13.968    0.099       3.194      21.508
 4236.75      81.70911      13.456    0.097       3.110      20.683
 4237.75      80.29167      12.976    0.095       3.030      19.909
 4238.75      78.92854      12.525    0.094       2.954      19.182
 4239.75      77.61672      12.102    0.092       2.881      18.498
 4240.74      76.35338      11.703    0.090       2.812      17.853
 4241.74      75.13594      11.327    0.089       2.746      17.245
 4242.74      73.96197      10.972    0.087       2.683      16.671
 4243.74      72.82923      10.637    0.086       2.623      16.128
 4244.74      71.73563      10.320    0.084       2.565      15.614
 4245.74      70.67919      10.020    0.083       2.510      15.126
 4246.74       69.6581       9.735    0.082       2.457      14.664
 4247.74      68.67064       9.465    0.081       2.406      14.226
 4248.74      67.71522       9.208    0.080       2.357      13.809
 4249.73      66.79033       8.964    0.078       2.310      13.412
 4250.73      65.89456       8.732    0.077       2.265      13.035
 4251.73      65.02659       8.510    0.076       2.221      12.675
 4252.73      64.18518       8.300    0.075       2.179      12.332
 4253.73      63.36916       8.098    0.074       2.139      12.004
 4254.72      62.57742       7.906    0.074       2.100      11.691
 4255.72      61.80893       7.723    0.073       2.063      11.393
 4256.72       61.0627       7.547    0.072       2.027      11.107
 4257.71      60.33781       7.379    0.071       1.992      10.833
 4258.71      59.63338       7.218    0.070       1.958      10.571
 4259.71      58.94859       7.064    0.070       1.925      10.319
 4260.71      58.28265       6.916    0.069       1.894      10.079
  4261.7      57.63481       6.774    0.068       1.863       9.847
  4262.7      57.00439       6.638    0.067       1.834       9.625
 4263.69       56.3907       6.507    0.067       1.805       9.412
 4264.69      55.79312       6.381    0.066       1.778       9.207
 4265.69      55.21105       6.260    0.065       1.751       9.010
 4266.68       54.6439       6.143    0.065       1.725       8.820
 4267.68      54.09114       6.031    0.064       1.700       8.637
 4268.67      53.55225       5.923    0.064       1.675       8.461
 4269.67      53.02674       5.818    0.063       1.651       8.291
 4270.66      52.51414       5.718    0.063       1.628       8.128
 4271.66      52.01399       5.621    0.062       1.606       7.970
 4272.65      51.52588       5.527    0.062       1.584       7.818
 4273.65      51.04939       5.437    0.061       1.563       7.671
 4274.64      50.58414       5.349    0.061       1.542       7.529
 4275.64      50.12974       5.265    0.060       1.522       7.391
 4276.63      49.68586       5.183    0.060       1.502       7.259
 4277.62      49.25214       5.104    0.059       1.483       7.130
 4278.62      48.82827       5.028    0.059       1.465       7.006
 4279.61      48.41392       4.954    0.058       1.447       6.886
 4280.61       48.0088       4.882    0.058       1.429       6.770
  4281.6      47.61264       4.812    0.058       1.412       6.657
 4282.59      47.22514       4.745    0.057       1.396       6.548
 4283.59      46.84605       4.680    0.057       1.379       6.442
 4284.58      46.47512       4.616    0.056       1.363       6.340
 4285.57       46.1121       4.555    0.056       1.348       6.240
 4286.56      45.75676       4.495    0.056       1.333       6.144
 4287.56      45.40889       4.437    0.055       1.318       6.050
 4288.55      45.06825       4.380    0.055       1.303       5.959
 4289.54      44.73466       4.326    0.055       1.289       5.871
 4290.53       44.4079       4.273    0.054       1.276       5.785
 4291.53      44.08779       4.220    0.054       1.262       5.702
 4292.52      43.77415       4.170    0.054       1.249       5.621
 4293.51      43.46679       4.121    0.054       1.236       5.542
  4294.5      43.16555       4.074    0.053       1.223       5.465
 4295.49      42.87027       4.027    0.053       1.211       5.391
 4296.48      42.58078       3.982    0.053       1.199       5.319
 4297.47      42.29693       3.938    0.052       1.187       5.248
 4298.47      42.01857       3.895    0.052       1.176       5.180
 4299.46      41.74557       3.854    0.052       1.164       5.113
 4300.45      41.47779       3.813    0.052       1.153       5.048
 4301.44      41.21509       3.773    0.051       1.143       4.985
 4302.43      40.95734       3.735    0.051       1.132       4.923
 4303.42      40.70443       3.697    0.051       1.122       4.863
 4304.41      40.45624       3.660    0.051       1.111       4.804
  4305.4      40.21264       3.624    0.050       1.101       4.747
 4306.39      39.97353       3.589    0.050       1.092       4.691
 4307.38       39.7388       3.555    0.050       1.082       4.637
 4308.37      39.50834       3.521    0.050       1.072       4.584
 4309.36      39.28206       3.489    0.050       1.063       4.533
 4310.35      39.05986       3.457    0.049       1.054       4.482
 4311.33      38.84164       3.426    0.049       1.045       4.433
 4312.32      38.62731       3.395    0.049       1.037       4.385
 4313.31      38.41678       3.365    0.049       1.028       4.338
  4314.3      38.20998       3.336    0.049       1.020       4.292
 4315.29       38.0068       3.308    0.048       1.011       4.248
 4316.28      37.80718       3.280    0.048       1.003       4.204
 4317.27      37.61104       3.253    0.048       0.995       4.161
 4318.25       37.4183       3.226    0.048       0.987       4.120
 4319.24      37.22888       3.200    0.048       0.980       4.079
 4320.23      37.04273       3.175    0.047       0.972       4.039
 4321.22      36.85975       3.150    0.047       0.965       4.000
 4322.21       36.6799       3.125    0.047       0.957       3.962
 4323.19       36.5031       3.101    0.047       0.950       3.925
 4324.18       36.3293       3.078    0.047       0.943       3.889
 4325.17      36.15842       3.055    0.047       0.936       3.853
 4326.15      35.99042       3.033    0.046       0.929       3.818
 4327.14      35.82522       3.011    0.046       0.923       3.784
 4328.13      35.66279       2.989    0.046       0.916       3.751
 4329.11      35.50306       2.968    0.046       0.910       3.719
  4330.1      35.34597       2.947    0.046       0.903       3.687
 4331.09      35.19148       2.927    0.046       0.897       3.656
 4332.07      35.03954       2.907    0.045       0.891       3.625
 4333.06       34.8901       2.888    0.045       0.885       3.595
