   wave            C        sig  sigcal    lorange    hirange
------- ------------ ---------- ------- ---------- ----------
3769.35    -110.1507     16.582   0.098     19.217     22.516
3769.93    -110.3175     16.603   0.098     19.256     22.453
3770.52   -110.48569     16.626   0.098     19.295     22.390
 3771.1   -110.65528     16.648   0.098     19.335     22.327
3771.68   -110.82628     16.672   0.098     19.376     22.264
3772.26    -110.9987     16.696   0.098     19.418     22.201
3772.85   -111.17256     16.721   0.098     19.460     22.139
3773.43   -111.34786     16.747   0.098     19.503     22.076
3774.01   -111.52461     16.773   0.098     19.547     22.013
3774.59   -111.70283     16.800   0.098     19.591     21.951
3775.18   -111.88253     16.828   0.098     19.637     21.888
3775.76   -112.06372     16.856   0.098     19.683     21.825
3776.34    -112.2464     16.886   0.098     19.729     21.762
3776.92    -112.4306     16.916   0.098     19.777     21.700
3777.51   -112.61632     16.947   0.098     19.825     21.637
3778.09   -112.80358     16.978   0.098     19.874     21.574
3778.67   -112.99238     17.011   0.098     19.923     21.512
3779.26   -113.18275     17.044   0.098     19.974     21.449
3779.84   -113.37468     17.079   0.098     20.025     21.386
3780.42    -113.5682     17.113   0.098     20.077     21.324
3781.01   -113.76332     17.149   0.098     20.130     21.261
3781.59   -113.96005     17.186   0.098     20.184     21.198
3782.17    -114.1584     17.224   0.098     20.238     21.136
3782.76   -114.35839     17.262   0.098     20.293     21.073
3783.34   -114.56003     17.301   0.098     20.350     21.010
3783.93   -114.76333     17.341   0.098     20.407     20.947
3784.51   -114.96831     17.382   0.098     20.464     20.884
3785.09   -115.17498     17.424   0.098     20.523     20.822
3785.68   -115.38336     17.467   0.098     20.583     20.759
3786.26   -115.59346     17.511   0.098     20.643     20.696
3786.85   -115.80529     17.556   0.098     20.705     20.633
3787.43   -116.01887     17.601   0.099     20.767     20.570
3788.01   -116.23422     17.648   0.099     20.830     20.507
 3788.6   -116.45134     17.696   0.099     20.894     20.444
3789.18   -116.67026     17.744   0.099     20.959     20.381
3789.77   -116.89099     17.794   0.099     21.026     20.318
3790.35   -117.11354     17.844   0.099     21.092     20.255
3790.94   -117.33794     17.897   0.099     21.160     20.192
3791.52   -117.56419     17.949   0.099     21.229     20.128
3792.11   -117.79232     18.003   0.099     21.299     20.065
3792.69   -118.02233     18.058   0.099     21.370     20.002
3793.28   -118.25426     18.114   0.099     21.442     19.938
3793.86   -118.48811     18.171   0.099     21.515     19.875
3794.45    -118.7239     18.229   0.100     21.589     19.811
3795.03   -118.96164     18.288   0.100     21.664     19.748
3795.62   -119.20137     18.349   0.100     21.741     19.684
 3796.2   -119.44309     18.410   0.100     21.818     19.620
3796.79   -119.68682     18.473   0.100     21.896     19.557
3797.37   -119.93258     18.537   0.100     21.976     19.493
3797.96    -120.1804     18.602   0.100     22.056     19.429
3798.55   -120.43028     18.669   0.100     22.138     19.365
3799.13   -120.68225     18.737   0.100     22.221     19.301
3799.72   -120.93633     18.805   0.101     22.305     19.236
 3800.3   -121.19253     18.876   0.101     22.390     19.172
3800.89   -121.45088     18.947   0.101     22.476     19.108
3801.48    -121.7114     19.020   0.101     22.564     19.043
3802.06   -121.97411     19.094   0.101     22.653     18.979
3802.65   -122.23902     19.169   0.101     22.743     18.914
3803.23   -122.50617     19.246   0.101     22.834     18.849
3803.82   -122.77557     19.324   0.102     22.927     18.784
3804.41   -123.04724     19.404   0.102     23.021     18.719
3804.99    -123.3212     19.485   0.102     23.116     18.654
3805.58   -123.59749     19.568   0.102     23.213     18.589
3806.17   -123.87611     19.651   0.102     23.311     18.524
3806.75    -124.1571     19.737   0.103     23.410     18.458
3807.34   -124.44047     19.824   0.103     23.631     18.392
3807.93   -124.72626     19.912   0.103     23.921     18.327
3808.51   -125.01448     20.002   0.103     24.214     18.261
 3809.1   -125.30516     20.094   0.103     24.511     18.195
3809.69   -125.59832     20.187   0.104     24.811     18.129
3810.28   -125.89399     20.281   0.104     25.115     18.062
3810.86   -126.19219     20.378   0.104     25.423     17.996
3811.45   -126.49296     20.476   0.104     25.734     17.929
3812.04   -126.79631     20.576   0.105     26.049     17.862
3812.63   -127.10227     20.677   0.105     26.368     17.795
3813.21   -127.41088     20.780   0.105     26.691     17.728
 3813.8   -127.72215     20.886   0.105     27.018     17.661
3814.39   -128.03612     20.992   0.106     27.350     17.594
3814.98   -128.35281     21.101   0.106     27.685     17.526
3815.56   -128.67225     21.211   0.106     28.025     17.458
3816.15   -128.99447     21.324   0.106     28.368     17.390
3816.74   -129.31951     21.438   0.107     28.717     17.322
3817.33   -129.64738     21.554   0.107     29.070     17.254
3817.92   -129.97813     21.672   0.107     29.427     17.185
 3818.5   -130.31178     21.792   0.107     29.789     17.116
3819.09   -130.64836     21.914   0.108     30.156     17.047
3819.68   -130.98791     22.038   0.108     30.528     16.978
3820.27   -131.33045     22.165   0.108     30.904     16.908
3820.86   -131.67603     22.293   0.109     31.286     16.839
3821.45   -132.02467     22.424   0.109     31.673     16.769
3822.04   -132.37641     22.557   0.109     32.064     16.699
3822.62   -132.73128     22.692   0.110     32.462     16.628
3823.21   -133.08931     22.829   0.110     32.864     16.558
 3823.8   -133.45055     22.969   0.110     33.273     16.487
3824.39   -133.81503     23.111   0.111     33.687     16.416
3824.98   -134.18278     23.255   0.111     34.106     16.344
3825.57   -134.55385     23.402   0.112     34.532     16.273
3826.16   -134.92827     23.551   0.112     34.963     16.201
3826.75   -135.30607     23.703   0.112     35.401     16.128
3827.34   -135.68731     23.857   0.113     35.845     16.056
3827.93   -136.07201     24.014   0.113     36.295     15.983
3828.52   -136.46022     24.174   0.114     36.752     15.910
3829.11   -136.85198     24.336   0.114     37.215     15.837
 3829.7   -137.24733     24.501   0.114     37.685     15.763
3830.29   -137.64631     24.669   0.115     38.162     15.689
3830.88   -138.04897     24.839   0.115     38.646     15.614
3831.47   -138.45535     25.013   0.116     39.137     15.540
3832.06    -138.8655     25.190   0.116     39.636     15.465
3832.65   -139.27945     25.369   0.117     40.142     15.389
3833.24   -139.69726     25.552   0.117     40.655     15.314
3833.83   -140.11897     25.737   0.118     41.177     15.237
3834.42   -140.54463     25.926   0.118     41.706     15.161
3835.01   -140.97429     26.118   0.119     42.244     15.084
 3835.6     -141.408     26.314   0.119     42.790     15.007
3836.19    -141.8458     26.512   0.120     43.344     14.929
3836.78   -142.28776     26.714   0.120     43.907     14.851
3837.37   -142.73391     26.920   0.121     44.479     14.773
3837.96   -143.18432     27.129   0.121     45.060     14.694
3838.55   -143.63903     27.342   0.122     45.651     14.615
3839.14    -144.0981     27.559   0.122     46.250     14.535
3839.73   -144.56159     27.779   0.123     46.860     14.455
3840.32   -145.02956     28.003   0.123     47.480     14.374
3840.91   -145.50205     28.231   0.124     48.109     14.293
 3841.5   -145.97914     28.463   0.124     48.749     14.211
 3842.1   -146.46087     28.699   0.125     49.400     14.129
3842.69   -146.94731     28.939   0.126     50.062     14.047
3843.28   -147.43852     29.183   0.126     50.734     13.964
3843.87   -147.93456     29.432   0.127     51.418     13.880
3844.46    -148.4355     29.686   0.128     52.114     13.796
3845.05   -148.94141     29.943   0.128     52.822     13.712
3845.65   -149.45234     30.206   0.129     53.542     13.627
3846.24   -149.96837     30.473   0.130     54.274     13.541
3846.83   -150.48956     30.745   0.130     55.019     13.455
3847.42   -151.01599     31.022   0.131     55.778     13.368
3848.01   -151.54773     31.304   0.131     56.550     13.280
 3848.6   -152.08484     31.591   0.132     57.335     13.192
 3849.2   -152.62741     31.884   0.133     58.135     13.104
3849.79    -153.1755     32.181   0.134     58.949     13.014
3850.38    -153.7292     32.484   0.134     59.778     12.924
3850.97   -154.28859     32.793   0.135     60.623     12.834
3851.57   -154.85374     33.108   0.136     61.483     12.742
3852.16   -155.42473     33.429   0.137     62.359     12.650
3852.75   -156.00165     33.755   0.138     63.251     12.558
3853.34   -156.58458     34.088   0.138     64.160     12.464
3853.94   -157.17361     34.427   0.139     65.087     12.370
3854.53   -157.76882     34.773   0.140     66.031     12.275
3855.12   -158.37032     35.125   0.141     66.994     12.180
3855.71   -158.97818     35.484   0.142     67.975     12.083
3856.31   -159.59249     35.851   0.143     68.976     11.986
 3856.9   -160.21337     36.224   0.144     69.996     11.888
3857.49    -160.8409     36.604   0.145     71.036     11.789
3858.09   -161.47517     36.993   0.145     72.098     11.690
3858.68    -162.1163     37.388   0.147     73.181     11.589
3859.27   -162.76439     37.792   0.147     74.285     11.488
3859.87   -163.41954     38.204   0.148     75.413     11.385
3860.46   -164.08185     38.624   0.149     76.564     11.282
3861.05   -164.75144     39.053   0.150     77.738     11.178
3861.65   -165.42842     39.490   0.152     78.938     11.073
3862.24    -166.1129     39.937   0.153     80.162     10.967
3862.84     -166.805     40.393   0.153     81.413     10.859
3863.43   -167.50484     40.858   0.155     82.691     10.751
3864.02   -168.21254     41.333   0.156     83.996     10.642
3864.62   -168.92822     41.819   0.157     85.330     10.532
3865.21   -169.65202     42.314   0.158     86.693     10.420
3865.81   -170.38405     42.821   0.159     88.086     10.308
 3866.4   -171.12446     43.338   0.160     89.511     10.194
3866.99   -171.87337     43.866   0.162     90.967     10.079
