LineCent LineName
------- ----------
3187.74 HeI_3188
3203.10 HeII_3203
3426.85 [NeV]3427
3703.30 H16
3711.97 H15
3721.94 H14
3725.00 [OII]3725
3727.00 [OII]3727
3750.15 H12_3750
3770.63 H11_3771
3797.90 H10_3798
3819.64 HeI_3819
3835.4  Hn
3868.76 [NeIII]3869
3889.1  HeI+H8
3968.00 [NeIII]+H7
4026.19 HeI_4026
4068.60 [SII]4068
4076.35 [SII]4076
4101.74 Hd_4101
4120.84 HeI_4121
4143.76 HeI_4144
4227.20 [FeV]4227
4340.47 Hg+HeII_10-4
4363.21 [OIII]4363
4387.93 HeI_4388
4471.48 HeI_4471
4541.00 HeII_4541
4658.10 [FeIII]4658
4685.94 HeII_4686
4712.00 [ArIV]+HeI
4740.20 [ArIV]4740
4859.00 HeII_4859
4861.33 Hbeta_4861
4921.93 HeI_4922
4958.92 [OIII]4959
4988.00 [FeIII]4988
5006.80 [OIII]5007
5015.68 HeI_5015
5411.52 HeII_5411
5517.71 [ClIII]5518
5537.88 [ClIII]5538
5577.00 [OI]5577
5754.64 [NII]5754
5875.60 HeI_5876
6300.30 [OI]6300
6312.10 [SIII]6312
6363.80 [OI]6363
6548.10 [NII]6548
6562.80 Halpha_6562
6583.40 [NII]6583
6678.10 HeI_6678
6716.40 [SII]6716
6730.80 [SII]6730
7065.30 HeI_7065
7135.80 [ArIII]7136
7178.00 HeII_7178
7281.21 HeI_7281
7319.90 [OII]7320
7330.20 [OII]7330
7751.12 [ArIII]7751
8236.00 HeII_8236
9014.90 P10
9069.00 [SIII]9069
9229.00 P9
9344.00 HeII_9344
9530.60 [SIII]9530
9546.00 P8  
